EmployeeCode;Name;Department;Location;DateOfJoining
19420327-3075;Clarita Collelo;Human Resources;Stockholms län;2003-07-19
19511011-5622;Clifton Closson;Sales and Marketing;O;2005-04-01
19350604-9893;Leo Magwood;Customer Relations;Västra Götalands län;2018-12-19
19200407-8586;Ross Archey;Payroll;E;2008-04-13
19021010-6498;Phyllis Kimler;Tech Support;Stockholms län;2010-03-14
19691119-9289;Nieves Dewall;Tech Support;O;2019-06-29
19540818-8380;Julissa Plante;Advertising;Stockholms län;2006-05-29
19050427-6031;Marylyn Broadwell;Media Relations;O;2019-08-14
19971012-3135;Cara Alcorn;Asset Management;Jönköpings län;2004-12-07
19460718-2823;Larisa Kidney;Asset Management;X;2004-11-07
19540508-9367;Merle Christon;Legal Department;AB;2001-10-03
19920319-5194;Winston Carbonaro;Payroll;Jönköpings län;2019-10-31
19560222-6655;Edna Gathright;Sales and Marketing;Västra Götalands län;2019-07-10
19350324-6476;Lore Hopper;Quality Assurance;AB;2004-09-11
19240422-5738;Melody Gobin;Finances;O;2018-07-13
19680420-4730;Tonya Gero;Customer Service;Jönköpings län;2019-09-23
19730126-3088;Birdie Mccarthy;Media Relations;AB;2010-07-13
19991102-7853;Penelope Brassard;Finances;AB;2001-12-11
19180211-1417;Tenisha Large;Legal Department;F;2003-02-25
19061003-7897;Melvin Gehlert;Customer Service;O;2011-12-08
19430422-9877;Evelia Mauck;Advertising;Västra Götalands län;2001-10-22
19820110-6419;Dakota Chasse;Quality Assurance;AB;2004-10-23
19450621-8223;Daniell Edlund;Asset Management;Östergötlands län;2021-01-03
19570405-5184;Anabel Slemp;Public Relations;O;2001-12-18
19130525-4011;Carlita Bevil;Public Relations;Stockholms län;2019-02-26
19360814-5748;Armando Nabors;Asset Management;E;2015-11-01
19590619-5986;Diedra Knuckles;Accounting;AB;2019-01-15
19460502-4308;Kathyrn Kale;Sales and Marketing;X;2002-10-25
19100908-7121;Nubia Kester;Media Relations;O;2019-01-08
19531118-9020;Carole Maney;Quality Assurance;AB;2006-04-17
19120901-3455;Cortney Hermanson;Public Relations;Stockholms län;2010-08-19
19700807-8441;Jannie Baine;Asset Management;Stockholms län;2010-03-01
19990903-3194;Dorthy Overly;Asset Management;F;2007-04-19
19310802-6554;Lasonya Sines;Customer Relations;Stockholms län;2002-03-19
19230414-0276;Sherrell Hurst;Quality Assurance;Jönköpings län;2011-09-25
19130426-6495;Isabel Cookson;Legal Department;Dalarnas län;2018-09-26
19240420-1424;Diane Brigance;Legal Department;Jönköpings län;2011-03-21
19881025-8221;Sheridan Ruppe;Legal Department;F;2010-02-08
19190813-1809;Shenika Beirne;Tech Support;W;2013-07-03
19071126-4333;Jewel Pirtle;Finances;X;2005-06-08
19530406-3794;Becky Welton;Media Relations;X;2019-12-18
19240623-0314;Marivel Karsten;Customer Service;AB;2017-04-21
19771209-6440;Dorine Couey;Advertising;Jönköpings län;2013-12-27
19510825-2379;Shawanna Hunter;Payroll;Västra Götalands län;2015-09-27
19851204-3087;Xuan Stroh;Accounting;O;2000-08-05
19030426-0946;Charity Petrella;Finances;Östergötlands län;2018-09-12
19740712-6130;Missy Christofferso;Customer Service;Västra Götalands län;2005-03-20
19290508-9484;Saturnina Whittlesey;Payroll;Stockholms län;2012-01-24
